,AGE,EDUCATION_LEVEL,MARITAL_STATUS,NO_OF_KIDS,OCCUPATION_CATEGORY,INCOME,RISK_LEVEL,SPENDING_VS_INCOME,SPENDING_LEVEL,NETWORTH,RISK_TOLERANCE
234,56,Masters/phd,married,1,mid_level,113952.46467,2,spends_more,5,759507.31548,2.241513156008987
235,56,Masters/phd,married,1,mid_level,113952.46467,2,spends_more,5,759714.43501,2.242308842763564
236,56,Masters/phd,married,1,mid_level,113952.46467,2,spends_more,5,758678.83736,2.241368409239658
237,51,Masters/phd,married,2,Senior_level,238554.69239,2,spends_less,2,1831972.2404,5.71334673038288
238,51,Masters/phd,married,2,Senior_level,238554.69239,2,spends_less,2,1823687.4592,5.724935916180197
239,51,Masters/phd,married,2,Senior_level,238554.69239,2,spends_less,2,1837150.2286,5.724935916180197
240,51,Masters/phd,married,2,Senior_level,238554.69239,2,spends_less,2,1855790.9863,5.724935916180197
241,51,Masters/phd,married,2,Senior_level,238554.69239,2,spends_less,2,1847506.2051,5.724935916180197
242,44,Masters/phd,married,2,mid_level,232164.83455,1,spends_more,2,2828838.5369,4.305355599760117
243,63,Masters/phd,married,0,Junior_level,5090586.7393,2,spends_less,1,86023989.876,1.6382465392053125
244,63,Masters/phd,married,0,Junior_level,5079936.9762,2,spends_less,1,71354749.184,1.8142389884285883
245,63,Masters/phd,married,0,Junior_level,5079936.9762,2,spends_less,1,73918888.961,1.861351881264918
246,63,Masters/phd,married,0,Junior_level,5090586.7393,2,spends_less,1,69879022.534,1.8696637413144708
247,63,Masters/phd,married,0,Junior_level,5079936.9762,2,spends_less,1,74538176.355,1.76207371938682
248,47,Masters/phd,married,3,mid_level,1331220.3816,3,spends_less,5,14438302.417,14.41643929260866
249,47,Masters/phd,married,3,mid_level,1331220.3816,3,spends_less,5,14135907.903,14.303615819024454
250,47,Masters/phd,married,3,mid_level,1331220.3816,3,spends_less,5,14079985.63,13.795910495154336
251,27,Masters/phd,married,0,Senior_level,109692.55945,2,spends_averagely,3,82537.132593,56.34298964661387
252,27,Masters/phd,married,0,Senior_level,109692.55945,2,spends_averagely,3,82537.132593,56.34298964661387
253,27,Masters/phd,married,0,Senior_level,109692.55945,2,spends_averagely,3,82537.132593,56.63639819218432
254,27,Masters/phd,married,0,Senior_level,109692.55945,2,spends_averagely,3,82537.132593,56.34298964661387
255,27,Masters/phd,married,0,Senior_level,109692.55945,2,spends_averagely,3,82537.132593,56.63639819218432
256,34,Bachelors/degree,married,2,Senior_level,90522.98595,3,spends_less,5,215922.10973,26.30486381099252
257,34,Bachelors/degree,married,2,Senior_level,90522.98595,3,spends_less,5,215922.10973,26.30486381099252
258,34,Bachelors/degree,married,2,Senior_level,90522.98595,3,spends_less,5,215922.10973,26.30486381099252
259,34,Bachelors/degree,married,2,Senior_level,90522.98595,3,spends_less,5,215922.10973,26.30486381099252
